latitude,longitude
53.6020117,10.0409897
53.6088366,10.0122228
53.6084337,10.0114548
53.6068874,10.0116862
53.5884831,9.9913222
53.5999233,9.9940395
53.6057767,9.9962347
53.6066268,9.9936798
53.589094,9.9576979
53.5883487,9.9573837
53.5836963,9.9558667
53.5838158,9.9559524
53.5812402,9.9566759
53.5806242,9.9573242
53.5591719,9.9492898
53.5581156,9.9493693
53.5531871,9.9542862
53.5533638,9.9544153
53.5653419,9.8015619
53.5511912,9.9467365
53.5512696,9.9460469
53.5341155,10.0421783
53.5338314,10.0456018
53.5333904,10.0469566
53.5342013,10.0427591
53.5966516,9.9880544
53.5974067,9.9892354
53.5920775,9.9830327
53.591701,9.9824509
53.5899597,9.9781218
53.5904462,9.9795251
53.5891411,9.9761996
53.5891895,9.9766411
53.5873195,9.971506
53.5551268,9.9889398
53.5508188,9.9938604
53.5471246,10.0107596
53.5477893,10.0128331
53.5454805,10.0157092
53.5440094,10.020972
53.5431128,10.0229485
53.5406206,10.0316953
53.5404241,10.0318683
53.5363421,10.0349077
53.5365555,10.0349962
53.5347613,10.0385364
53.534519,10.038525
53.4027051,10.2417898
53.4024894,10.2413157
53.4083661,10.2464916
53.408401,10.2463506
53.4108718,10.2369661
53.4109754,10.2366789
53.3980111,10.234486
53.3979366,10.2346741
53.4187418,10.1995333
53.4186005,10.1995487
53.5498106,9.9545565
53.5947881,9.983779
53.4116772,10.1522036
53.4116293,10.1520692
53.448139,10.123622
53.4475098,10.1240533
53.4509336,10.1160271
53.4506408,10.1166856
53.4567068,10.1055357
53.4637583,10.088557
53.4635286,10.0887268
53.5323179,10.052047
53.6076336,10.0330292
53.6073264,10.0328616
53.6057168,10.0265885
53.59994,10.0122505
53.6057509,10.0182645
53.5598304,9.9603265
53.5603593,9.9593908
53.5715626,9.7422939
53.5713661,9.742447
53.5777868,9.7696961
53.5772948,9.7686284
53.5773077,9.7583512
53.5772307,9.7583652
53.5711382,9.7577293
53.5712357,9.7578782
53.5769801,9.774238
53.5769669,9.7739224
53.6731629,9.9953994
53.6735833,9.9939626
53.5326533,10.0509823
53.5315682,10.0564171
53.5306571,10.0643799
53.5279939,10.0689275
53.5219724,10.0676667
53.5181763,10.0695352
53.5150301,10.0747437
53.5134654,10.0801471
53.5008021,10.0788738
53.5601186,10.0148565
53.559952,10.0144112
53.5632647,10.017593
53.5571889,10.0110038
53.557472,10.0112317
53.5207595,10.0131355
53.6043529,9.9618604
53.573276,9.7575895
53.573044,9.7575634
53.5711865,9.7885521
53.5703544,9.7893067
53.5768848,9.7637557
53.5767065,9.7655368
53.5658163,9.7997738
53.5304905,10.0648104
53.5789943,10.0695907
53.5670313,10.0309464
53.5923686,9.9536212
53.5920407,9.954488
53.5922289,9.9509376
53.5925549,9.9515756
53.5905962,9.9471809
53.5906761,9.9466956
53.5714117,9.7515804
53.5713316,9.750818
53.6186381,10.0796354
53.5788311,10.0948858
53.5790578,10.0974231
53.618792,10.0809352
53.6194357,10.0810643
53.6287873,10.107858
53.6273796,10.1094262
53.6237785,10.1116604
53.6238916,10.1111803
53.4860984,10.2024059
53.4791162,10.1976436
53.6004699,10.0163411
53.599005,10.0055259
53.6409767,10.0369592
53.6410348,10.0373406
53.6568055,10.0855204
53.5716235,10.0391502
53.57245,10.0386654
53.5679688,10.0300784
53.566012,10.0206761
53.5659588,10.0200438
53.5592727,9.805203
53.5582792,9.8080926
53.558392,9.8109824
53.5829976,10.1134701
53.5831075,10.1147113
53.6492598,10.0175151
53.6495103,10.0163667
53.5700539,10.0582221
53.6667949,9.9920206
53.6663167,9.9917703
53.6714064,9.9923018
53.6736453,9.9946299
53.6257999,10.1168897
53.6417067,10.0974564
53.6682791,10.1061847
53.6531606,10.0780069
53.6416132,10.0970128
53.6384399,10.0359287
53.4784319,10.0236153
53.5881528,10.1298132
53.5876596,10.1289467
53.656937,10.0857017
53.6564119,10.0858479
53.6465733,9.9262046
53.547614,10.0392786
53.548019,10.038115
53.6370472,10.0299836
53.5710663,9.8741582
53.5749576,9.9593943
53.5743188,9.9594875
53.5711736,9.9569983
53.5715517,9.9569671
53.5665256,9.9520014
53.5664678,9.9513338
53.5722793,9.9792323
53.5660706,10.0196864
53.5659265,10.0195885
53.5714957,9.9704675
53.56766,9.9710193
53.5721203,9.9704616
53.5742352,9.9602361
53.5748811,9.9582402
53.57611,9.9508509
53.5750708,9.9456278
53.5756054,9.9447225
53.5781106,9.9413707
53.5779387,9.9413113
53.5763134,9.9698392
53.5754762,10.0921377
53.5753249,10.0925777
53.5475571,10.0523881
53.5477352,10.0518595
53.5692485,9.8786299
53.5994918,9.9648371
53.639033,10.1570336
53.6270364,10.1228926
53.6287635,10.1336744
53.6345921,10.1363883
